SSC,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs/No Religious Affiliation
Buangla,0,0,0,0,0,0,0
Bucca (NSW),4,274,0,0,0,13,207
Bucca Wauka,0,47,0,0,0,0,28
Buccarumbi,0,4,0,0,0,0,3
Buchanan (NSW),0,115,0,0,0,0,57
Buckajo,0,146,0,0,0,0,123
Buckaroo,0,99,0,0,0,0,22
Buckenbowra,0,14,0,0,0,0,0
Buckenderra,0,16,0,0,0,0,0
Buckendoon,0,31,0,0,0,0,4
Bucketty,6,92,0,0,0,4,60
Buckra Bendinni,6,41,0,0,0,0,29
Budawang,0,5,0,0,0,0,10
Buddabadah,0,43,0,0,0,0,5
Budden,0,10,0,0,0,0,3
Budderoo,0,0,0,0,0,0,0
Buddong,0,0,0,0,0,0,0
Budgee Budgee (NSW),0,132,0,0,0,0,41
Budgewoi,23,2132,3,3,0,14,907
Budgewoi Peninsula,0,0,0,0,0,0,0
Budgong,0,32,0,0,0,0,33
Buff Point,37,2285,3,6,4,3,878
Bugaldie,0,99,0,0,0,0,23
Bukalong,0,0,0,0,0,0,0
Bukkulla,0,92,0,0,0,0,32
Bulahdelah,8,970,0,0,0,3,319
Bulee,0,0,0,0,0,0,0
Bulga (NSW),0,225,0,4,0,6,68
Bulga Forest,0,0,0,0,0,0,6
Bulgary,0,10,0,0,0,0,0
Bulla (NSW),0,4,0,0,0,0,0
Bulla Creek,0,56,0,0,0,0,3
Bullaburra,20,537,3,6,0,11,525
Bullagreen,0,44,0,0,0,0,0
Bullarah,0,70,0,0,0,0,21
Bullatale,0,30,0,0,0,0,11
Bullawa Creek,0,70,0,0,0,0,22
Bulldog,3,7,0,0,0,0,9
Bulli,67,3351,11,41,0,14,2193
Bulliac,0,27,0,0,0,0,14
Bullio,0,57,0,0,0,0,13
Bulyeroi,0,12,0,0,0,0,0
Bumbaldry,0,55,0,0,0,0,26
Bumbalong,0,12,0,0,0,0,0
Bundabah,0,64,0,0,0,0,35
Bundagen,8,9,0,0,6,0,90
Bundanoon (NSW),38,1656,3,0,13,6,816
Bundarra,4,444,0,0,0,0,147
Bundeena,21,940,4,4,3,6,777
Bundella,0,48,0,0,0,0,9
Bundemar,0,36,0,0,0,0,0
Bundewallah,0,27,0,0,0,0,15
Bundook,0,43,0,0,0,0,50
Bundure,0,7,0,0,0,0,0
Bungaba,0,51,0,0,0,0,15
Bungabbee,0,0,0,0,0,0,0
Bungalora,0,47,0,0,0,0,10
Bungarby,0,53,0,0,0,0,10
Bungarribee,72,918,980,223,0,106,166
Bungawalbin,0,56,0,0,0,0,38
Bungendore,24,2252,9,4,0,14,1458
Bungonia,3,242,0,5,0,0,84
Bungowannah,3,132,0,0,0,0,21
Bungwahl,3,118,0,0,0,0,83
Bunnaloo,0,75,0,0,0,0,15
Bunnan,0,79,0,0,0,0,13
Bunyah,0,86,0,0,0,3,42
Bunyan,0,100,0,0,0,0,40
Burcher,0,50,0,0,0,0,13
Bureen,0,42,0,0,0,0,13
Burnt Bridge,0,107,0,0,0,0,27
Burnt Yards,0,18,0,0,0,0,17
Buronga,0,615,3,9,0,0,452
Burra (Queanbeyan-Palerang Regional - NSW),0,416,0,0,0,10,253
Burra (Snowy Valleys - NSW),0,40,0,0,0,0,11
Burra Creek,0,61,0,0,0,0,10
Burraboi,0,40,0,0,0,0,18
Burradoo,7,1762,0,0,9,5,640
Burraga,0,65,0,0,0,0,16
Burragate,5,38,0,0,0,0,48
Burrandana,0,11,0,0,0,0,12
Burraneer,7,2581,5,11,6,3,720
Burrangong,0,179,0,13,0,0,32
Burrapine,0,34,0,0,0,0,13
Burrawang,3,210,0,0,3,0,109
Burrell Creek,0,141,0,0,0,0,57
Burren Junction,0,207,0,0,0,0,44
Burrier,0,34,0,0,0,0,10
Burrill Lake,26,844,3,0,0,6,458
Burringbar,17,392,0,0,0,9,314
Burrinjuck,0,9,0,0,0,0,5
Burroway,0,92,0,0,0,0,3
Burrumbuttock,0,227,0,0,0,0,87
Burrundulla,0,109,0,0,0,0,18
Burwood (NSW),1487,4639,1029,212,5,70,7209
Burwood Heights,42,565,24,19,0,3,239
Busby,337,1840,96,836,0,73,529
Busbys Flat,0,20,0,0,0,0,11
Bushells Ridge,0,13,0,0,0,4,0
Buttaba,7,638,3,0,0,3,360
Buttai,4,24,0,0,0,0,30
Butterwick,0,103,0,0,0,0,30
Buxton (NSW),4,1344,3,0,0,4,513
Byabarra,4,188,0,0,0,0,100
Byadbo Wilderness,0,0,0,0,0,0,0
Byangum,4,68,0,0,3,0,42
Bylong,0,13,0,0,0,0,3
Byng,0,36,0,0,0,0,9
Byrock,0,30,0,0,0,0,15
Byron Bay,121,1576,25,13,39,32,2416
Byrrill Creek,0,32,0,0,0,0,52
Bywong,15,681,0,5,0,9,494
Cabarita (NSW),73,1281,45,30,4,5,403
Cabarita Beach,3,57,0,0,0,0,45
Cabbage Tree Island (Ballina - NSW),0,27,0,0,0,0,43
Cabbage Tree Island (Mid-Coast - NSW),0,3,0,0,0,0,0
Cabramatta,9347,5787,96,369,3,85,4339
Cabramatta West,2723,2446,14,249,0,29,1184
Cabramurra,0,14,0,0,0,0,8
Caddens,26,839,71,48,0,51,305
Cadgee (NSW),0,16,0,0,0,0,27
Cadia,0,0,0,0,0,0,0
Caffreys Flat,0,30,0,0,0,0,18
Cairncross,0,3,0,0,0,0,0
Calala,12,2855,19,11,0,17,733
Calamia,0,8,0,0,0,0,0
Calderwood,0,136,0,0,0,0,31
Caldwell,0,22,0,0,0,0,12
Calga,3,76,0,0,0,0,45
Califat,0,13,0,0,0,0,0
Calimo,0,32,0,0,0,6,26
Callaghan,41,534,28,26,3,12,562
Callaghans Creek,0,5,0,0,0,0,0
Callala Bay,13,1366,0,0,0,8,641
Callala Beach,7,490,0,0,3,4,203
Calliope (NSW),0,78,0,0,0,0,13
Caloola,0,53,0,0,0,0,18
Cambalong,0,0,0,0,0,0,0
Camberwell (NSW),0,62,0,0,0,0,8
Cambewarra,0,163,0,0,4,0,53
Cambewarra Village,6,750,4,4,0,4,351
Camboon (NSW),0,25,0,0,0,0,6
Cambra,0,21,0,0,0,0,6
Cambridge Gardens,6,1348,9,17,0,15,525
Cambridge Park,64,4195,43,57,0,37,1769
Cambridge Plateau,0,0,0,0,0,0,0
Camden,27,2274,0,0,0,13,656
Camden Head,0,91,0,0,0,0,38
Camden Park (NSW),4,1729,0,11,0,3,385
Camden South,20,3272,17,11,3,10,1000
Camellia,0,0,0,0,0,0,0
Cameron Park,97,4880,160,107,0,30,2232
Camerons Creek,0,34,0,0,0,0,13
Camira (NSW),0,12,0,0,0,0,12
Cammeray,136,3322,131,35,104,24,2613
Camp Creek (NSW),0,12,0,0,0,0,8
Campbelltown (NSW),360,7169,311,675,5,116,2671
Camperdown (NSW),318,2941,79,144,43,63,5408
Campsie,2676,8680,2274,1210,9,375,7250
Campvale,0,23,0,0,0,0,11
Cams Wharf,0,81,0,0,0,0,58
Canada Bay,27,788,5,27,0,19,273
Canadian Lead,0,3,0,0,0,0,3
Canbelego,0,32,0,0,0,0,8
Candelo,6,343,0,0,0,0,260
Cangai,0,13,0,0,0,0,11
Caniaba,8,464,0,0,0,0,113
Canley Heights,4221,3731,18,226,0,52,1986
Canley Vale,3783,3194,73,391,0,40,1828
Canobolas,8,327,0,0,0,0,114
Canoelands,0,104,0,0,0,0,55
Canonba,0,19,0,0,0,0,0
Canowindra,9,1699,0,0,0,7,372
Canterbury (NSW),513,3442,282,316,11,46,1966
Canton Beach,5,780,0,0,0,6,247
Canyonleigh,3,253,0,0,0,0,115
Caparra,0,20,0,0,0,0,40
Capeen Creek,0,10,0,0,0,0,3
Capertee,0,79,0,0,0,0,35
Capoompeta,0,5,0,0,0,0,0
Captains Flat,0,283,0,0,0,0,260
Carabost,0,25,0,0,0,0,19
Caragabal,0,112,0,0,0,0,48
Carcalgong,0,17,0,0,0,0,13
Carcoar,4,226,0,0,0,0,51
Cardiff (NSW),56,3399,25,23,4,23,1917
Cardiff Heights,4,834,0,0,0,7,435
Cardiff South,25,1793,4,0,0,13,823
Carey Bay,3,591,0,3,0,0,228
Cargo,8,419,0,0,0,0,113
Carinda,0,123,0,0,0,0,18
Caringbah,167,7227,100,69,16,44,3124
Caringbah South,84,8674,18,41,18,7,2692
Carlaminda,0,29,0,0,0,0,3
Carlingford,1411,11158,1054,610,19,183,8316
Carlton (NSW),504,5250,637,776,12,45,2623
Carnes Hill,103,1168,186,230,0,65,189
Carnham,0,4,0,0,0,0,4
Carool,0,102,0,0,0,0,55
Caroona,0,142,0,0,0,0,43
Carrabolla,0,0,0,0,0,0,0
Carrai,0,0,0,0,0,0,0
Carramar (NSW),544,1533,54,536,0,21,518
Carrathool,0,153,0,0,0,0,53
Carrick (NSW),0,77,0,0,0,0,35
Carrington (Mid-Coast - NSW),0,18,0,0,0,0,6
Carrington (Newcastle - NSW),23,866,0,8,0,10,842
Carrington Falls,0,11,0,0,0,0,5
Carroll,0,237,0,3,0,5,56
Carrowbrook,0,17,0,0,0,0,3
Carrs Creek,0,89,0,0,0,0,34
Carrs Island,0,10,0,0,0,0,0
Carrs Peninsula,0,18,0,0,0,0,4
Carss Park,30,859,0,39,4,3,211
Cartwright,185,1063,47,343,0,89,326
Cartwrights Hill,0,146,0,0,0,0,33
Carwell,0,11,0,0,0,0,7
Carwoola,6,789,3,0,0,0,476
Cascade (NSW),0,8,0,0,0,0,0
Casino,36,7469,16,0,0,46,2400
Cassilis (NSW),0,239,0,0,0,0,42
Castle Cove,49,1393,6,4,69,12,791
Castle Doyle,0,99,0,0,0,3,43
Castle Hill (NSW),1392,22961,1427,993,62,528,9419
Castle Rock,0,118,0,0,0,0,25
Castlecrag,49,1581,10,6,61,9,982
Castlereagh,19,859,3,7,0,6,166
Casuarina (NSW),30,1402,16,0,6,7,903
Casula,508,8399,783,2490,6,515,1521
Catalina,19,1451,7,0,0,9,651
Cataract,0,7,0,0,0,0,0
Cathcart (NSW),0,79,0,0,0,0,21
Catherine Field,6,1184,3,33,0,7,199
Catherine Hill Bay,0,72,0,0,0,0,67
Cathundral,0,21,0,0,0,0,7
Cattai,5,507,0,13,0,0,175
Cattle Creek (NSW),0,14,0,0,0,0,8
Cavan (NSW),0,25,0,0,0,0,10
Caves Beach,35,2574,5,0,0,4,1164
Cawdor (NSW),0,358,0,0,0,0,41
Cawongla,8,72,0,0,0,0,84
Cecil Hills,635,4695,133,343,0,121,605
Cecil Park,11,562,8,11,0,20,78
Cedar Brush Creek,0,59,0,0,0,0,35
Cedar Creek (Cessnock - NSW),0,12,0,0,0,0,7
Cedar Creek (Tweed - NSW),0,0,0,0,0,0,5
Cedar Party,6,240,0,0,0,0,81
Cedar Point,0,123,0,0,0,0,33
Cells River,0,0,0,0,0,0,0
Centennial Park (NSW),61,1023,23,7,101,6,840
Central Colo,0,12,0,0,0,0,14
Central Macdonald,0,27,0,0,0,0,9
Central Mangrove,0,167,0,0,0,5,71
Central Tilba,5,112,0,0,0,0,123
Cessnock,97,9143,39,22,4,31,3735
Chaelundi,0,0,0,0,0,0,0
Chain Valley Bay,24,1733,0,0,0,3,514
Chakola,0,26,0,0,0,0,11
Chambigne,0,39,0,0,0,0,8
Charbon,0,79,0,0,0,0,42
Charles Sturt University,3,177,0,0,0,0,133
Charlestown (NSW),143,7654,73,42,9,40,4017
Charleys Forest,0,33,0,0,0,0,15
Charlotte Bay,4,83,0,0,0,0,71
Charlton (NSW),0,15,0,0,0,0,6
Charmhaven,33,1531,0,9,3,13,760
Chatham Valley,0,15,0,0,0,0,8
Chatsbury,0,71,0,0,0,0,6
Chatswood,1723,8659,838,351,165,160,10695
Chatswood West,36,739,11,9,27,8,559
Chatsworth (NSW),0,90,0,0,0,0,61
Cheero Point,0,52,0,0,0,0,23
Cheltenham (NSW),73,1115,101,7,0,9,775
Cherry Tree Hill,0,36,0,0,0,0,16
Cherrybrook,968,9875,1453,407,41,303,4626
Chester Hill,1368,4970,88,3468,3,36,1732
Chichester (NSW),0,9,0,0,0,0,3
Chifley (NSW),67,2073,13,46,96,22,628
Chilcotts Creek,0,0,0,0,0,0,3
Chilcotts Grass,0,137,0,0,0,0,72
Chillingham,0,125,0,0,0,0,66
Chinderah,9,949,0,0,0,0,406
Chinnock,4,0,0,0,0,0,15
Chippendale,864,1587,142,182,26,32,4396
Chipping Norton,417,5741,161,609,0,87,1357
Chisholm (NSW),4,1038,12,0,0,12,327
Chiswick,78,1545,56,56,0,12,832
Chittaway Bay,30,1294,5,0,0,10,545
Chittaway Point,12,579,0,3,0,0,304
Chowan Creek,0,3,0,0,0,3,7
Chullora,0,0,0,0,0,0,0
Church Point,7,517,0,0,3,4,367
Clandulla,0,133,0,0,0,0,31
Clare (NSW),0,18,0,0,0,0,0
Claremont Meadows,53,3127,156,149,0,95,936
Clarence,0,113,0,0,0,0,55
Clarence Town,11,1243,0,0,0,6,554
Clarendon (NSW),0,95,0,0,0,0,25
Clarenza,0,357,0,0,0,0,136
Clareville,7,389,0,3,0,0,311
Claymore,41,1284,7,105,0,20,543
Clear Creek,0,82,0,0,0,0,19
Clear Range,0,10,0,0,0,0,22
Clearfield,0,3,0,0,0,0,3
Clemton Park,45,1144,9,125,4,7,243
Clergate,0,155,0,0,0,0,37
Cleveland (NSW),0,16,0,0,0,0,3
Clifden,0,17,0,0,0,0,7
Cliftleigh,0,479,4,4,0,3,292
Clifton (NSW),0,8,0,0,0,0,12
Clifton Grove,3,630,0,0,0,0,163
Clontarf (NSW),26,1002,8,15,5,3,551
Clothiers Creek,4,144,0,0,0,0,78
Clouds Creek,0,3,0,0,0,0,0
Clovelly,61,2131,4,21,200,12,1865
Clunes (NSW),19,318,0,4,0,8,419
Clybucca,9,92,0,0,0,0,31
Clyde (NSW),0,0,0,0,0,0,3
Clydesdale (NSW),0,65,0,0,0,0,0
Coal Point,12,1020,0,0,0,0,549
Coalcliff,0,115,0,0,0,0,63
Coaldale,0,35,0,0,0,0,17
Coasters Retreat,0,8,0,0,0,0,7
Cobaki,0,122,0,0,0,0,60
Cobaki Lakes,0,20,0,0,0,0,15
Cobar,20,2606,18,30,0,6,762
Cobar Park,0,21,0,0,0,0,10
Cobargo,10,381,0,0,0,3,285
Cobark,0,22,0,0,0,0,22
Cobbadah,0,66,0,0,0,0,19
Cobbitty,16,1557,0,13,3,0,301
Cobramunga,0,15,0,0,0,0,13
Cockwhy,0,17,0,0,0,0,0
Codrington (NSW),0,46,0,0,0,0,12
Coffee Camp,0,83,3,0,0,0,100
Coffs Harbour,279,14140,102,337,26,327,7686
Coggan,0,5,0,0,0,0,0
Cogra Bay,0,0,0,0,0,0,13
Coila,0,23,0,0,0,0,16
Coldstream (NSW),0,30,0,0,0,0,14
Coleambally,6,910,8,5,0,0,253
Colebee,46,1020,236,100,5,82,310
Coledale,18,615,6,0,3,4,506
Colinroobie,0,39,0,0,0,0,11
Colinton (NSW),0,59,0,0,0,3,39
Collarenebri,0,387,0,4,0,18,177
Collaroy (NSW),87,4420,43,24,16,39,2494
Collaroy Plateau,36,2954,8,11,18,4,1382
Collector,0,182,0,0,0,0,102
Collendina,0,74,0,0,0,0,21
Collerina,0,41,0,0,0,0,0
Collie (NSW),0,151,0,0,0,0,27
Collingullie,0,156,0,0,0,0,32
Collingwood (NSW),0,37,0,0,0,0,3
Collins Creek,3,43,0,0,0,10,47
Collombatti,4,356,0,0,0,0,182
Collum Collum,0,0,0,0,0,0,0
Colly Blue,0,22,0,0,0,0,4
Colo (Bathurst Regional - NSW),0,0,0,0,0,0,0
Colo (Hawkesbury - NSW),0,43,0,0,0,0,17
Colo Heights,0,214,0,0,0,3,67
Colo Vale,9,1044,0,0,0,4,403
Colongra,0,0,0,0,0,0,0
Colyton,100,5190,241,398,6,82,1692
Comara,0,12,0,0,0,0,8
Combaning,0,83,0,0,0,0,15
Combara,0,44,0,0,0,0,3
Comberton,0,20,0,0,0,0,0
Comboyne,5,220,0,0,0,4,148
Come By Chance,0,70,0,0,0,0,40
Comerong Island,0,10,0,0,0,0,8
Commissioners Creek,5,18,0,0,0,0,19
Como (NSW),52,2358,0,0,9,13,1276
Comobella,0,42,0,0,0,0,7
Conargo,0,72,0,0,0,0,24
Concord,313,9743,304,194,15,78,2989
Concord West,156,3995,165,62,9,24,1142
Condell Park,825,5461,55,3106,0,36,1087
Condobolin,10,2452,20,3,0,0,619
Condong,3,205,0,0,0,0,69
Coneac,0,4,0,0,0,0,4
Congarinni,0,195,0,0,0,3,86
Congarinni North,4,251,0,0,0,0,82
Congewai,0,105,0,0,0,0,48
Congo,0,87,0,0,0,0,119
Conimbia,0,6,0,0,0,0,3
Coniston,43,1331,7,60,0,10,610
Conjola,4,67,0,0,0,0,58
Conjola Park,4,181,0,0,0,0,99
Connells Point,78,1894,19,65,4,6,583
Constitution Hill,76,2190,219,283,4,60,804
Coogee (NSW),179,6702,105,76,302,48,5670
Cookamidgera,0,120,0,0,0,0,22
Cookardinia,0,49,0,0,0,0,9
Cooks Gap,0,325,0,0,0,0,130
Cooks Hill,43,1521,12,35,11,20,1649
Cooks Myalls,0,43,0,0,0,0,0
Coolabah,0,36,0,0,0,0,14
Coolac,0,176,0,0,0,0,27
Coolagolite,4,127,0,0,0,0,115
Coolah,4,895,0,0,0,0,225
Coolamon,8,1544,4,8,3,0,380
Coolangatta (NSW),3,179,0,8,0,0,111
Coolangubra,0,0,0,0,0,0,0
Coolatai,0,74,0,0,0,0,21
Cooleman,0,0,0,0,0,0,0
Cooleys Creek,0,10,0,0,0,0,0
Coolgardie (NSW),0,57,0,0,0,0,43
Coolongolook,3,216,5,0,0,3,112
Coolringdon,0,51,0,0,0,0,12
Coolumbooka,0,0,0,0,0,0,4
Coolumburra,0,3,0,0,0,0,0
Cooma (NSW),67,3877,7,39,0,18,1782
Coomba Bay,4,67,0,0,0,0,40
Coomba Park,0,335,0,0,0,0,181
Coombadjha,0,10,0,0,0,0,7
Coombell,0,12,0,0,0,0,3
Coomealla,0,373,0,5,0,3,299
Coomoo Coomoo,0,4,0,0,0,0,3
Coonabarabran,6,2026,14,11,3,15,803
Coonamble,11,1958,7,5,0,3,299
Coongbar,0,0,0,0,0,0,0
Cooperabung,0,154,0,0,0,0,87
Coopernook,0,360,0,0,0,0,132
Coopers Gully,0,96,0,0,0,0,54
Coopers Shoot,7,93,0,0,0,3,125
Cooplacurripa,0,7,0,0,0,0,0
Coorabell,10,109,0,0,6,9,236
Cooranbong,16,3792,3,12,0,11,1076
Cootamundra,18,5013,14,6,9,12,1133
Cootralantra,0,75,0,0,0,0,10
Cooyal,0,78,0,0,0,0,24
Copacabana,31,1469,6,0,18,8,1014
Cope,0,52,0,0,0,0,46
Copeland,0,32,0,0,0,0,19
Copeton,0,15,0,0,0,0,15
Copmanhurst,5,167,0,0,0,4,81
Coppabella (NSW),0,9,0,0,0,0,4
Copperhannia,0,3,0,0,0,0,0
Coraki,7,834,0,0,0,8,287
Coralville,0,81,0,0,0,0,25
Coramba,7,432,0,0,0,5,281
Corang,0,4,0,0,0,0,3
Corangula,0,10,0,0,0,0,3
Corbie Hill,0,185,0,0,0,0,26
Cordeaux,0,0,0,0,0,0,0
Cordeaux Heights,31,3163,60,47,0,28,1012
Coree,0,23,0,0,0,0,9
Coreen,0,80,0,0,0,0,15
Corindi Beach,29,857,0,3,0,46,589
Corinella (NSW),0,50,0,0,0,0,14
Corlette,44,3533,12,4,6,16,1419
Corndale (NSW),4,118,0,0,0,0,158
Corney Town,0,48,0,0,0,0,23
Cornwallis,0,19,0,0,0,0,26
Corobimilla,0,57,0,0,0,0,13
Corowa,38,3569,20,14,0,23,1319
Corrabare,0,5,0,0,0,0,5
Corrimal,84,4127,22,65,8,36,1753
Corrong,0,3,0,0,0,0,0
Corrowong,0,10,0,0,0,0,3
Corunna,0,21,0,0,0,0,33
Cottage Point,0,36,0,0,9,0,30
Cottonvale (NSW),0,19,0,0,0,0,7
Cougal,0,4,0,0,0,0,19
Countegany,0,25,0,0,0,0,9
Courabyra,0,66,0,0,0,0,24
Couradda,0,38,0,0,0,0,7
Couragago,0,5,0,0,0,0,0
Couridjah,3,221,0,0,0,0,54
Coutts Crossing,8,648,0,0,0,6,298
Cow Flat,0,38,0,0,0,0,9
Cowabbie,0,8,0,0,0,0,6
Cowan,5,336,0,3,0,0,252
Cowper,0,60,0,0,0,0,16
Cowra,46,7377,12,3,4,38,1616
Coxs Creek,0,43,0,0,0,0,5
Coxs Crown,0,3,0,0,0,0,3
Crabbes Creek,0,109,0,0,0,0,128
Crackenback,0,82,0,0,0,0,84
Craigie (NSW),0,18,0,0,0,0,8
Cranebrook,139,10148,95,182,4,63,3997
Crangan Bay,0,0,0,0,0,0,0
Craven,0,69,0,0,0,0,34
Craven Plateau,0,0,0,0,0,0,0
Crawford River,0,18,0,0,0,0,18
Crawney,0,29,0,0,0,0,8
Creewah,0,19,0,0,0,0,4
Cremorne (NSW),326,5227,184,76,119,49,4036
Cremorne Point,24,1139,10,13,28,5,893
Crescent Head,20,774,0,9,0,3,541
Crestwood,53,2429,138,150,3,74,1303
Cringila,18,1169,0,513,0,7,313
Croki,0,33,0,0,0,0,12
Cromer (NSW),71,4608,29,29,24,20,2256
Cronulla,173,10693,35,78,16,45,5046
Crooble,0,48,0,0,0,0,12
Croobyar,0,108,0,0,0,0,36
Crooked Corner,0,31,0,0,0,0,13
Crookwell,10,2039,0,0,0,5,387
Croom,0,69,0,0,0,0,31
Croppa Creek,0,93,0,0,0,0,11
Cross Roads (NSW),0,15,0,0,0,0,0
Crosslands,0,340,0,0,0,0,166
Croudace Bay,10,369,0,0,0,0,159
Crowdy Bay National Park,0,0,0,0,0,0,0
Crowdy Head,0,56,0,0,0,0,19
Crows Nest (NSW),151,1873,138,39,32,27,1938
Crowther,0,44,0,0,0,0,5
Crowther Island,0,0,0,0,0,0,0
Croydon (NSW),512,5647,293,122,10,45,3219
Croydon Park (NSW),316,7038,243,264,3,66,2264
Crudine,0,44,0,0,0,0,12
Cryon,0,39,0,0,0,0,5
Crystal Creek (NSW),3,125,14,0,0,0,86
Cubba,0,23,0,0,0,0,9
Cudal,3,390,0,0,0,0,124
Cudgegong,0,24,0,0,0,0,9
Cudgel,0,23,0,0,0,3,0
Cudgen,10,520,3,0,0,4,249
Cudgera Creek,3,177,0,0,0,0,105
Cudmirrah,0,173,0,0,0,0,90
Culburra Beach,20,1706,3,6,7,12,820
Culcairn,4,981,0,0,0,0,353
Cullen Bullen,0,151,0,0,0,0,48
Cullenbone,0,25,0,0,0,0,8
Cullendore,0,7,0,0,0,0,4
Cullerin,0,31,0,0,0,0,6
Cullivel,0,15,0,0,0,0,0
Culmaran Creek,0,6,0,0,0,0,4
Cumbalum,12,913,4,0,0,3,477
Cumbandry,0,13,0,0,0,0,3
Cumberland Reach,0,123,0,0,0,0,52
Cumbo,0,4,0,0,0,0,5
Cumborah,0,131,0,0,0,0,39
Cumnock,0,302,0,5,0,0,107
Cundle Flat,0,11,0,0,0,0,4
Cundletown,10,1409,0,0,0,5,428
Cundumbul,0,28,0,0,0,0,7
Cunjurong Point,0,41,0,0,0,0,29
Cunningar,0,108,0,0,0,0,18
Cunninyeuk,0,23,0,0,0,0,16
Curban,0,101,0,0,0,0,11
Curl Curl,9,1227,4,7,7,0,835
Curlew Waters,0,5,0,0,0,0,10
Curlewis (NSW),4,519,0,0,0,0,188
Curlwaa,0,204,0,0,0,0,129
Curra Creek,0,53,0,0,0,0,4
Currabubula,0,203,4,0,0,0,79
Curragh,0,0,0,0,0,0,0
Curramore (NSW),0,133,0,0,0,0,56
Currans Hill,107,3438,37,102,0,16,1300
Currarong,3,264,0,0,0,0,121
Currawang,0,106,0,0,0,0,36
Currawarna,0,106,0,0,0,0,35
Curraweela,0,27,0,0,0,0,16
Curricabark,0,5,0,0,0,0,0
Currowan,0,26,0,0,0,0,22
Cuttabri,0,36,0,0,0,0,3
Cuttagee,0,17,0,0,0,0,32
Dabee,0,19,0,0,0,0,15
Daceyville,28,668,3,51,34,3,263
Dairy Arm,0,8,6,0,0,0,13
Dairy Flat,0,3,0,0,0,0,12
Dairymans Plains,0,102,0,0,0,0,40
Daleys Point,5,463,0,0,0,0,154
Dalgety,0,107,0,0,0,5,88
Dalmeny,21,1120,3,0,0,11,617
Dalmorton,0,3,0,0,0,0,0
Dalswinton,6,33,0,0,0,0,7
Dalton,0,135,0,0,0,0,54
Dalwood (Ballina - NSW),0,152,0,0,0,0,64
Dalwood (Singleton - NSW),0,81,0,0,0,0,11
Dandaloo,0,24,0,0,0,0,0
Dandry,0,65,0,0,0,0,25
Dangar Island,6,98,0,0,0,0,155
Dangarsleigh,0,107,0,0,0,0,29
Dangelong,0,4,0,0,0,0,0
Dapto,85,6956,31,58,3,28,2837
Darawank,0,266,0,0,0,5,88
Darbalara,0,26,0,0,0,0,8
Darbys Falls,3,145,0,0,0,0,62
Dareton,0,225,0,0,0,51,139
Dargan,0,52,0,0,0,0,31
Dark Corner,0,9,0,0,0,0,8
Darkes Forest,0,71,0,0,0,0,31
Darkwood,3,33,0,0,0,0,111
Darling Point,45,1805,18,17,439,21,1171
Darlinghurst,420,3288,140,87,185,55,4946
Darlington (Singleton - NSW),4,245,0,3,0,0,86
Darlington (Sydney - NSW),133,539,49,45,28,19,1917
Darlington Point,0,759,6,0,0,4,267
Darlow,0,19,0,0,0,0,7
Dartbrook,0,87,0,0,0,0,22
Daruka,0,622,4,0,0,0,126
Davidson,16,1720,0,0,12,4,948
Davis Creek,0,14,0,0,0,0,0
Davistown,16,1661,0,3,5,3,630
Dawes Point,4,156,0,10,0,0,147
Daysdale,0,63,0,0,0,0,18
Dean Park,37,2151,124,170,0,73,438
Deauville,0,20,0,0,0,0,6
Debenham,0,0,0,0,0,0,0
Dee Why,946,9897,676,306,58,329,7179
Deep Creek (Clarence Valley - NSW),0,5,0,0,0,0,0
Deep Creek (Kempsey - NSW),0,55,0,0,0,0,26
Deep Creek (Kyogle - NSW),0,15,0,0,0,0,8
Deepwater (NSW),0,274,0,0,0,0,92
Deer Vale,4,64,0,0,0,0,64
Delegate,3,233,0,0,0,0,82
Delungra,0,460,0,0,0,7,99
Denham Court,26,1257,72,162,0,24,174
Denhams Beach,3,401,0,0,0,0,145
Deniliquin,27,4701,21,12,3,21,2178
Denistone,150,2040,68,18,9,17,1208
Denistone East,99,1159,77,24,3,11,715
Denistone West,26,558,19,3,7,0,244
Denman,6,1328,0,0,0,9,307
Depot Beach,0,11,0,0,0,0,8
Derriwong,0,22,0,0,0,0,0
Deua,0,0,0,0,0,0,0
Deua River Valley,0,19,0,0,0,5,25
Devils Hole,0,0,0,0,0,0,9
Dewitt,0,10,0,0,0,0,0
Dharruk,34,1688,67,284,3,16,468
Dhulura,0,32,0,0,0,0,14
Dhuragoon,0,15,0,0,0,0,9
Diamond Beach,17,512,0,0,0,0,310
Diamond Head,0,0,0,0,0,0,0
Diehard,0,11,0,0,0,0,26
Diggers Camp,0,7,0,0,0,0,8
Dignams Creek,0,24,0,0,0,7,37
Dilkoon,0,23,0,0,0,6,16
Dilpurra,0,14,0,0,0,0,7
Dingo Forest,0,0,0,0,0,0,0
Dinoga,0,45,0,0,0,0,16
Dirnaseer,0,62,0,0,0,0,0
Dirty Creek,0,34,0,0,0,5,36
Dobies Bight,0,77,0,0,0,0,24
Doctor George Mountain,0,9,0,0,0,0,36
Doctors Gap,0,21,0,0,0,0,12
Dog Rocks,0,4,0,0,0,0,0
Dolans Bay,0,453,4,0,0,0,113
Dolls Point,25,1119,18,71,3,8,291
Dollys Flat,0,56,0,0,0,0,8
Dolphin Point,4,99,0,0,0,0,55
Dombarton,0,98,0,0,0,4,33
