SSC,population
Bentleigh East,27636
Benwerrin,7
Beremboke,147
Berrimal,43
Berringa,169
Berringama,38
Berriwillock,186
Berrybank,43
Berrys Creek,148
Berwick,47674
Bessiebelle,100
Bet Bet,131
Bete Bolong,94
Bete Bolong North,10
Bethanga,467
Betley,98
Beulah (Vic.),325
Beverford,335
Beveridge,2328
Big Desert,4
Big Hill (Greater Bendigo - Vic.),259
Big Hill (Surf Coast - Vic.),28
Big Pats Creek,73
Biggara,52
Billabong,0
Bimbourie,9
Bindi,54
Binginwarri,132
Bingo Munjie,4
Birchip,701
Birchip West,4
Birdwoodton,643
Birregurra,828
Bittern,3704
Black Hill (Vic.),2125
Black Range (Vic.),186
Black Rock (Vic.),6159
Blackburn,13943
Blackburn North,7439
Blackburn South,10793
Blackwarry,24
Blackwood (Vic.),296
Blairgowrie,2317
Blakeville,35
Blampied,212
Blind Bight,1252
Blowhard,80
Bo Peep,26
Bobinawarrah,83
Bochara,77
Bogong,3
Boho,66
Boho South,70
Boigbeat,8
Boinka,9
Boisdale,275
Bolangum,0
Bolinda,196
Bolton,14
Bolwarra (Vic.),604
Bolwarrah,25
Bona Vista,108
Bonang,46
Bonbeach,6417
Bonegilla,691
Boneo,354
Bonn,34
Bonnie Doon (Vic.),569
Bonshaw (Vic.),217
Bookaar,162
Boola,0
Boolarong,15
Boolarra,972
Boolarra South,137
Boole Poole,4
Boolite,35
Boomahnoomoonah,22
Boonah (Vic.),17
Boorcan,142
Boorhaman,132
Boorhaman East,17
Boorhaman North,47
Boorolite,144
Boorool,45
Boort,872
Boosey,104
Boralma,71
Bornes Hill,26
Boronia,22193
Borung,79
Bostocks Creek,83
Botanic Ridge,3916
Boundary Bend,133
Bowenvale,175
Boweya,43
Boweya North,41
Bowmans Forest,96
Bowser,43
Box Hill (Vic.),11390
Box Hill North,11871
Box Hill South,8437
Boxwood,25
Bradford,11
Bradvale,57
Braeside,22
Brandy Creek (Vic.),99
Branxholme,353
Bravington,14
Braybrook,9199
Breakaway Creek,45
Breakwater,1016
Breamlea,163
Brenanah,28
Brewster,46
Briagolong,1086
Briar Hill,3150
Bridge Creek,91
Bridgewater (Vic.),145
Bridgewater North,56
Bridgewater On Loddon,326
Bright (Vic.),2403
Brighton (Vic.),23258
Brighton East,15997
Brim,172
Brimboal,9
Brimin,46
Brimpaen,81
Bringalbert,10
Brit Brit,39
Broadford,4319
Broadmeadows (Vic.),11967
Broadwater (Vic.),90
Brodribb River,32
Broken Creek,38
Bromley,56
Brookfield (Vic.),9215
Brooklyn (Vic.),1859
Brookville,4
Broomfield,234
Broughton (Vic.),152
Brown Hill (Vic.),3584
Browns Plains (Vic.),99
Bruarong,77
Brucknell,114
Brumby,0
Brunswick (Vic.),24475
Brunswick East,11502
Brunswick West,14160
Bruthen,815
Buangor,103
Buchan,237
Buchan South,82
Buckland (Vic.),133
Buckley,211
Buckley Swamp,26
Buckrabanyule,46
Budgee Budgee (Vic.),0
Budgeree,143
Budgerum East,8
Buffalo,272
Buffalo River,258
Bulart,92
Buldah,4
Bulga (Vic.),4
Bulgana,38
Bulla (Vic.),680
Bullaharre,17
Bullarook,98
Bullarto,73
Bullarto South,35
Bulleen,10877
Bullengarook,648
Bullioh,74
Bullumwaal,33
Buln Buln,546
Buln Buln East,168
Bumberrah,84
Bunbartha,282
Bundalaguah,194
Bundalong,426
Bundalong South,50
Bundara,0
Bunding,54
Bundoora (Vic.),28654
Bung Bong,50
Bungador,66
Bungal,40
Bungalally,94
Bungaree (Vic.),272
Bungeet,29
Bungeet West,43
Bungil (Vic.),13
Bunguluke,20
Buninyong,3714
Bunkers Hill,260
Bunyip,2467
Bunyip North,114
Buragwonduc,0
Burkes Bridge,12
Burkes Flat,14
Burnbank,60
Burnewang,36
Burnley,772
Burnside (Vic.),4749
Burnside Heights,6071
Burramboot,32
Burramine,200
Burramine South,21
Burrowye,41
Burrumbeet,229
Burwood (Vic.),15021
Burwood East,10269
Bushfield,567
Bushy Park (Vic.),47
Butchers Ridge,11
Buxton (Vic.),493
Byaduk,123
Byaduk North,116
Byawatha,159
Bylands,131
Byrneside,163
Cabarita (Vic.),487
Cabbage Tree,23
Cabbage Tree Creek,44
Cadello,15
Cairnlea,9662
Calder Park,0
Caldermeade,186
California Gully,4358
Calivil,175
Callawadda,43
Callignee,322
Callignee North,50
Callignee South,11
Calrossie,25
Calulu,181
Cambarville,0
Camberwell (Vic.),22077
Cambrian Hill,246
Campbellfield,5059
Campbells Bridge,23
Campbells Creek,1780
Campbells Forest,49
Campbelltown (Vic.),53
Camperdown (Vic.),3368
Canadian,3611
Canary Island,10
Caniambo,71
Cann River,198
Cannie,21
Cannons Creek,645
Cannum,50
Canterbury (Vic.),8060
Cape Bridgewater,145
Cape Clear,128
Cape Conran,3
Cape Otway,14
Cape Paterson,885
Cape Schanck,444
Cape Woolamai,1675
Capels Crossing,35
Carag Carag,77
Caralulup,3
Caramut,242
Carapooee,65
Carapooee West,24
Carapook,66
Carboor,97
Cardigan,753
Cardigan Village,661
Cardinia,377
Cardross,822
Cargerie,38
Carina (Vic.),21
Caringal,21
Carisbrook,1118
Carlisle River,136
Carlsruhe,329
Carlton (Vic.),18538
Carlton North,6304
Carlyle,81
Carnegie,17386
Carngham,144
Caroline Springs,24209
Carpendeit,131
Carrajung,100
Carrajung Lower,112
Carrajung South,45
Carranballac,36
Carron,21
Carrum,3985
Carrum Downs,20713
Carwarp,66
Cashmore,226
Cassilis (Vic.),28
Castella,268
Casterton,1664
Castle Creek (Vic.),79
Castle Donnington,129
Castlemaine,6755
Catani,291
Cathcart (Vic.),92
Cathkin,24
Catumnal,20
Caulfield,5596
Caulfield East,1590
Caulfield North,15271
Caulfield South,11850
Caveat,43
Cavendish,334
Ceres,258
Chadstone,8643
Chandlers Creek,3
Chapel Flat,0
Chapple Vale,37
Charam,41
Charlemont,359
Charleroi,72
Charlton (Vic.),1047
Chatsworth (Vic.),43
Chelsea,7771
Chelsea Heights,5337
Cheltenham (Vic.),22292
Chepstowe,65
Cherokee,56
Cherrypool,0
Cheshunt,231
Cheshunt South,3
Chesney Vale,158
Chetwynd,84
Chewton,1313
Chewton Bushlands,43
Childers (Vic.),103
Chillingollah,4
Chiltern,1602
Chiltern Valley,61
Chinangin,4
Chinkapook,34
Chintin,111
Chirnside Park,9872
Chirrip,8
Chocolyn,66
Christmas Hills (Vic.),362
Chum Creek,981
Churchill (Vic.),4784
Churchill Island,0
Chute,15
Clarendon (Vic.),146
Claretown,27
Clarinda,7479
Clarkefield,322
Clarkes Hill,63
Clayton,19356
Clayton South,12640
Clear Lake,73
Clematis,348
Clifton Creek,230
Clifton Hill,6339
Clifton Springs,7521
Clonbinane,333
Clover Flat,11
Cloverlea,193
Club Terrace,46
Clunes (Vic.),1728
Clyde (Vic.),2117
Clyde North,8155
Clydebank,109
Clydesdale (Vic.),62
Coalville,49
Cobains,235
Cobaw,70
Cobbannah,7
Cobberas,0
Cobden,1836
Cobram,6014
Cobram East,244
Cobrico,81
Cobungra,55
Coburg,26178
Coburg North,7599
Cocamba,5
Cochranes Creek,7
Cockatoo (Vic.),4258
Cocoroc,0
Codrington (Vic.),51
Coghills Creek,73
Cohuna,2434
Coimadai,418
Cokum,3
Colac,9048
Colac Colac,47
Colac East,218
Colac West,82
Colbinabbin,307
Colbrook,27
Coldstream (Vic.),2165
Coleraine,1028
Colignan,329
Collingwood (Vic.),8512
Combienbar,18
Concongella,132
Condah,121
Congupna,604
Connewarre,785
Connewirricoo,23
Coojar,40
Coolaroo,3191
Cooma (Vic.),104
Coomboona,133
Coomoora,255
Coongulla,180
Coonooer Bridge,30
Coonooer West,16
Cooriemungle,364
Cope Cope,59
Cora Lynn,247
Corack,23
Corack East,20
Coragulac,163
Coral Bank,83
Corindhap,135
Corinella (Vic.),791
Corio,15292
Corndale (Vic.),33
Cornella,45
Cornishtown,97
Coronet Bay,794
Corop,133
Cororooke,307
Corringle,12
Corryong,1347
Corunnun,118
Cosgrove (Vic.),52
Cosgrove South,57
Costerfield,74
Cotswold,16
Cottles Bridge,602
Cowa,0
Cowangie,37
Cowes,4839
Cowleys Creek,38
Cowwarr,369
Craigie (Vic.),56
Craigieburn,50349
Cranbourne,20091
Cranbourne East,16193
Cranbourne North,20113
Cranbourne South,1673
Cranbourne West,15038
Creek Junction,15
Creightons Creek,140
Cremorne (Vic.),2021
Cressy (Vic.),176
Creswick,3172
Creswick North,62
Crib Point,3182
Crookayan,0
Crooked River,5
Cross Roads (Vic.),21
Crossley,212
Crossover,157
Crowlands,87
Croxton East,70
Croydon (Vic.),26946
Croydon Hills,4992
Croydon North,7860
Croydon South,4572
Crymelon,15
Cudgee,238
Cudgewa,261
Culgoa,103
Culla,37
Cullen,42
Cullulleraine,72
Cundare,7
Cundare North,13
Curdies River,30
Curdievale,121
Curlewis (Vic.),1557
Curyo,30
Dadswells Bridge,66
Daisy Hill (Vic.),382
Dales Creek,396
Dallas,6810
Dalmore,163
Daltons Bridge,38
Dalyenong,0
Dalyston,583
Dandenong,29901
Dandenong North,22448
Dandenong South,161
Dandongadale,3
Dargo,99
Darley,8376
Darlimurla,37
Darlington (Vic.),112
Darnum,753
Darraweit Guim,407
Darriman,12
Dartmoor (Vic.),323
Dartmouth,101
Dawson (Vic.),40
Daylesford,2552
Dean,123
Deans Marsh,265
Deddick Valley,7
Dederang,169
Deep Lead,207
Deepdene (Vic.),2034
Deer Park,18127
Delacombe,6301
Delahey,8342
Delatite,15
Delburn,31
Delegate River,26
Denicull Creek,26
Denison,466
Dennington,1910
Denver,149
Deptford,0
Derby (Vic.),21
Dereel,537
Dergholm,44
Derrimut,8267
Derrinal,52
Derrinallum,411
Devenish,200
Devils River,13
Devon Meadows,1551
Devon North,347
Dewhurst,169
Dhurringile,445
Diamond Creek,11739
Digby,126
Diggers Rest,2761
Diggora,97
Dimboola,1729
Dingee,205
Dingley Village,10324
Dingwall,82
Dinner Plain,233
Dixie (Vic.),132
Dixons Creek,336
Dobie,38
Docker,121
Dockers Plains,52
Docklands,10965
Doctors Flat,19
Dollar,56
Don Valley,570
Donald,1501
Doncaster,20947
Doncaster East,28357
Donnybrook (Vic.),170
Donvale,12348
Dooboobetic,10
Dooen,238
Dookie,328
Dookie College,40
Doreen,21297
Dorodong,43
Double Bridges,0
Douglas (Vic.),63
Doveton,9356
Dreeite,56
Dreeite South,31
Driffield,85
Drik Drik,50
Dromana,5808
Dropmore,7
Drouin,12348
Drouin East,185
Drouin South,340
Drouin West,332
Drumanure,36
Drumborg,153
Drumcondra,559
Drummartin,39
Drummond,283
Drummond North,186
Drung,149
Dry Diggings,28
Drysdale,4274
Duchembegarra,41
Dumbalk,408
Dumbalk North,96
Dumosa,22
Dunach,59
Dundonnell,45
Dunkeld (Vic.),680
Dunluce,34
Dunneworthy,22
Dunnstown,241
Dunolly (Vic.),894
Dunrobin (Vic.),78
Durdidwarrah,8
Durham Lead,388
Durham Ox,72
Dutson,29
Dutson Downs,8
Dutton Way,119
Duverney,35
Eagle Point,1098
Eaglehawk,5693
Eaglehawk North,3
Eaglemont,3873
Earlston,81
East Bairnsdale,1293
East Bendigo,2093
East Geelong,3865
East Melbourne,4957
East Sale,92
East Wangaratta,78
East Warburton,863
Eastern View,36
Eastville,21
Eastwood (Vic.),2766
Ebden,134
Echuca,14037
Echuca Village,533
Echuca West,428
Ecklin South,188
Eddington,100
Eden Park,1203
Edenhope,950
Edgecombe,92
Edi,72
Edi Upper,89
Edithvale,5804
Eganstown,205
Eildon,974
Elaine,228
Eldorado,385
Elevated Plains,39
Elingamite,52
Elingamite North,80
Elizabeth Island,0
Ellaswood,190
Ellerslie (Vic.),147
Elliminyt,2903
Ellinbank,232
Elmhurst,185
Elmore,780
Elphinstone (Vic.),552
Elsternwick,10355
Eltham (Vic.),18316
Eltham North,6808
Elwood,15547
Emerald (Vic.),5777
Emu,29
Emu Creek (Vic.),360
Endeavour Hills,24296
Enfield (Vic.),535
Englefield,17
Enochs Point,0
Ensay,109
Ensay North,26
Eppalock,683
Epping (Vic.),32395
Epsom (Vic.),4331
Ercildoune,68
Erica,192
Errinundra,0
Eskdale (Vic.),243
Esmond,10
Essendon,20602
Essendon Fields,0
Essendon North,2990
Essendon West,1441
Eumemmerring,1948
Eurack,60
Eureka (Vic.),624
Euroa,3279
Eurobin,215
Evansford,125
Eversley,16
Everton,200
Everton Upper,162
Exford,101
Eynesbury,2580
Fairbank,42
Fairfield (Vic.),6559
Fairhaven,297
Fairley,17
Fairy Dell (Campaspe - Vic.),83
Fairy Dell (East Gippsland - Vic.),0
Falls Creek (Vic.),291
Faraday,161
Fawcett,60
Fawkner,14040
Fentons Creek,24
Ferguson (Vic.),21
Fern Hill,104
Fernbank,150
Ferndale (Vic.),37
Fernihurst,17
Fernshaw,0
Ferntree Gully,26428
Ferny Creek,1520
Fiery Flat,27
Fingal (Vic.),535
Fish Creek,823
Fish Point,20
Fiskville,20
Fitzroy (Vic.),10447
Fitzroy North,12338
Flaggy Creek,99
Flagstaff,91
Flamingo Beach,0
Flemington,7716
Flinders (Vic.),906
Flora Hill,3955
Flowerdale (Vic.),689
Flynn (Vic.),180
Flynns Creek,7
Footscray,16340
Forbes (Vic.),121
Forest Hill (Vic.),10623
Forge Creek,276
Forrest (Vic.),230
Foster,1843
Foster North,171
Fosterville,60
Foxhow,15
Framlingham,157
Framlingham East,21
Franklinford,67
Frankston,36095
Frankston North,5759
Frankston South,18204
Freeburgh,116
French Island,114
Frenchmans,13
Freshwater Creek,417
Fryerstown,228
Fulham (Vic.),955
Fumina,12
Fumina South,69
Fyans Creek,37
Fyansford,192
Gaffneys Creek,10
Gainsborough,46
Gannawarra,92
Gapsted,173
Gardenvale,1006
Garfield (Vic.),1782
Garfield North,191
Garibaldi,124
Garvoc,239
Gateway Island,10
Gatum,29
Gazette,42
Geelong,5210
Geelong West,6965
Gelantipy,17
Gellibrand,210
Gellibrand Lower,9
Gelliondale,34
Gembrook,2350
Genoa,55
Gentle Annie,0
Georges Creek (Vic.),63
Gerahmin,23
Gerang Gerung,69
Gerangamete,103
Germania,13
Germantown (Vic.),0
Gerrigerrup,36
Gherang,367
Gheringhap,157
Ghin Ghin,40
Giffard,53
Giffard West,70
Gil Gil,17
Gilderoy,68
Gillieston,60
Gillum,0
Gipsy Point,18
Girgarre,558
Girgarre East,123
Gisborne,9000
Gisborne South,797
Gladfield (Vic.),24
Gladstone Park,8342
Gladysdale,440
Glen Alvie,165
Glen Creek,48
Glen Forbes,110
Glen Huntly,5038
Glen Iris (Vic.),25267
Glen Park,105
Glen Valley,17
Glen Waverley,40328
Glen Wills,0
Glenaire,23
Glenaladale,61
Glenalbyn,20
Glenaroua,156
Glenbrae,30
Glenburn,412
Glendaruel,55
Glendonald,8
Glenfalloch,0
Glenfyne,135
Glengarry (Vic.),1086
Glengarry North,193
Glengarry West,120
Glengower,18
Glenhope,76
Glenhope East,26
Glenisla,18
Glenlee (Vic.),86
Glenlofty,17
Glenlogie,30
Glenloth,6
Glenloth East,10
Glenluce,24
Glenlyon (Vic.),392
Glenmaggie,279
Glenmore (Vic.),63
Glenorchy (Vic.),123
Glenormiston North,57
Glenormiston South,112
Glenpatrick,30
Glenrowan,962
Glenrowan West,65
Glenroy (Vic.),22245
Glenthompson,235
Glomar Beach,7
Gnarwarre,263
Gnotuk,99
Gobarup,29
Gobur,83
Golden Beach (Vic.),295
Golden Gully,211
Golden Point (Ballarat - Vic.),2110
Golden Point (Mount Alexander - Vic.),104
Golden Square,8823
Goldie,223
Goldsborough (Vic.),34
Gong Gong,13
Gonn Crossing,54
Goomalibee,86
Goon Nure,114
Goongerah,30
Gooram,148
Gooramadda,60
Goorambat,293
Goornong,652
Gooroc,15
Gorae,191
Gorae West,227
Gordon (Vic.),1151
Gormandale,323
Goroke,299
Goschen,28
Goughs Bay,260
Goulburn Weir,80
Gowanbrae,2769
Gowanford,4
Gowangardie,20
Gowar East,26
Gower,41
Grahamvale,681
Grampians,0
Grand Ridge,10
Granite Rock,250
Grantville,827
Granya,101
Grassdale (Vic.),21
Grassmere,397
Grays Bridge,4
Graytown,60
Gre Gre,22
Gre Gre North,18
Gre Gre South,12
Great Western,399
Gredgwin,14
Green Gully (Vic.),60
Greendale (Vic.),603
Greenhill (Vic.),52
Greens Creek (Vic.),52
Greensborough,20819
Greenvale (Vic.),15466
Greenwald,45
Grenville,97
Greta (Vic.),107
Greta South,127
Greta West,162
Grey River,0
Gringegalgona,24
Gritjurk,55
Grovedale,14311
Gruyere,941
Guildford (Vic.),330
Gunbower,556
Gundowring,216
Gunyah,8
Guys Forest,16
Guys Hill,385
Gymbowen,51
Haddon,1197
Hadfield,5606
Hallam,10851
Hallora,129
Halls Gap,431
Hallston,156
Hamilton (Vic.),9970
Hamlyn Heights,6292
Hampton (Vic.),13391
Hampton East,4691
Hampton Park,25532
Hansonville,138
Happy Valley (Golden Plains - Vic.),85
Happy Valley (Swan Hill - Vic.),83
Harcourt,940
Harcourt North,264
Harkaway,844
Harmers Haven,36
Harrietville,336
Harrow,197
Harston,177
Hastings (Vic.),9608
Hattah,22
Havelock,72
Haven,1302
Havilah (Vic.),20
Hawkesdale,319
Hawkhurst,5
Hawthorn (Vic.),23508
Hawthorn East,14319
Hazel Park,45
Hazelwood,178
Hazelwood North,1478
Hazelwood South,299
Healesville,7465
Heath Hill,166
Heathcote (Vic.),2792
Heathcote Junction,838
Heathcote South,18
Heatherton,2907
Heathmere,238
Heathmont,9692
Hedley,127
Heidelberg,6225
Heidelberg Heights,6085
Heidelberg West,5543
Hensley Park,61
Henty (Vic.),59
Hepburn,601
Hepburn Springs,332
Herne Hill (Vic.),3413
Hernes Oak,327
Hesket,173
Hesse,17
Hexham (Vic.),146
Heyfield,1991
Heytesbury Lower,52
Heywood,1724
Hiamdale,31
Hiawatha,23
High Camp,106
Highett,10457
Highlands,122
Highton,18952
Hilgay,16
Hill End (Vic.),167
Hillcrest (Vic.),94
Hilldene,340
Hillside (East Gippsland - Vic.),196
Hillside (Melton - Vic.),17055
Hinnomunjie,30
Hmas Cerberus,1037
Hoddles Creek,630
Hollands Landing,14
Homebush (Vic.),34
Homerton,19
Homewood,55
Hopetoun (Vic.),738
Hopetoun Park,797
Hoppers Crossing,38703
Hordern Vale,48
Horfield,91
Horsham,14541
Hotham Heights,197
Hotspur,45
Howes Creek,70
Howitt Plains,0
Howqua,108
Howqua Hills,0
Howqua Inlet,53
Hughesdale,7558
Humevale,305
Hunter,45
Hunterston,24
Huntingdale (Vic.),1863
Huntly,2377
Huntly North,45
Huon,221
Huon Creek,134
Hurstbridge,3451
Icy Creek,17
Iguana Creek,39
Illabarook,35
Illawarra,86
Illowa,307
Indented Head,1135
Indigo Valley,333
Inglewood (Vic.),857
Ingliston,51
Invergordon (Vic.),610
Inverleigh,1480
Inverloch,5433
Invermay (Vic.),832
Invermay Park,1814
Iona,230
Iraak,123
Irishtown (Vic.),15
Ironbark (Vic.),1091
Irrewarra,345
Irrewillipe,127
Irrewillipe East,80
Irymple (Vic.),5324
Ivanhoe (Vic.),12174
Ivanhoe East,3809
Jacana,2126
Jack River,132
Jackass Flat,1140
Jacob Creek,28
Jam Jerrup,97
Jamieson (Vic.),302
Jan Juc,3681
Jancourt,29
Jancourt East,190
Jarklin,36
Jarrahmond,110
Jarvis Creek,41
Jeeralang,70
Jeeralang Junction,560
Jeetho,100
Jeffcott,32
Jeffcott North,11
Jeparit,480
Jericho (Vic.),0
Jeruk,7
Jil Jil,15
Jindivick,493
Joel Joel,21
Joel South,26
Johanna,66
Johnsonville,330
Joyces Creek,10
Jumbuk,32
Jumbunna,125
Junction Village,1019
Jung,244
Jungaburra,0
Junortoun,3196
Kaarimba,85
Kadnook,40
Kalimna,1248
Kalimna West,139
Kalkallo,104
Kalkee,57
Kallista,1440
Kalorama,1240
Kalpienung,27
Kamarooka,91
Kamarooka North,11
Kanagulk,21
Kancoona,87
Kangaroo Flat (Vic.),10399
Kangaroo Ground,1095
Kaniva,806
Kanumbra,56
Kanya,13
Kanyapella,59
Karabeal,36
Kardella,174
Kardella South,108
Kariah,94
Karnak,16
Karramomus,42
Karyrie,23
Katamatite,398
Katamatite East,35
Katandra,114
Katandra West,474
Katunga,1000
Kawarren,166
Kealba,3192
Keely,63
Keilor,5853
Keilor Downs,9994
Keilor East,14518
Keilor Lodge,1747
Keilor North,72
Keilor Park,2715
Kellalac,21
Kelvin View,64
Kenley,49
Kenmare (Vic.),3
Kennedys Creek,39
Kennett River,44
Kennington,5652
Kensington (Vic.),10812
Kerang,3890
Kerang East,39
Kergunyah,216
Kergunyah South,61
Kernot,101
Kerrie,80
Kerrisdale,75
Kevington,43
Kew (Vic.),24604
Kew East,6634
Kewell,48
Keysborough,25785
Kialla,6819
Kialla East,137
Kialla West,430
Kiata,62
Kiewa,473
Kilcunda,398
Killara (Glenelg - Vic.),8
Killara (Wodonga - Vic.),623
Killarney (Vic.),206
Killawarra (Vic.),415
Killingworth (Vic.),105
Kilmany,177
Kilmore,7955
Kilmore East,418
Kilsyth,10890
Kilsyth South,2983
Kimbolton (Vic.),70
King Valley,98
Kinglake,1536
Kinglake Central,348
Kinglake West,1171
Kingower,37
Kings Park (Vic.),8198
Kingsbury,3780
Kingston (Vic.),177
Kingsville,3947
Kinnabulla,29
Kinypanial,14
Kirkstall,364
Kirwans Bridge,135
Kithbrook,46
Knebsworth,11
Knockwood,0
Knowsley,161
Knoxfield,7462
Koallah,29
Koetong,20
Kolora,138
Kongwak,192
Konongwootong,53
Koo Wee Rup,3579
Koo Wee Rup North,46
Kooloonong,35
Koonda,13
Koondrook,990
Koonoomoo,297
Koonwarra,404
Kooreh,31
Koorlong,363
Koornalla,96
Kooroocheang,31
Koorool,0
Koorooman,107
Kooyong,817
Koriella,58
Korobeit,76
Koroit,2054
Korong Vale,170
Koroop,80
Korumburra,4475
Korumburra South,99
Korweinguboora,172
Kotta,107
Kotupna,107
Koyuga,319
Krowera,108
Kulwin (Vic.),12
Kunat,33
Kurraca,3
Kurraca West,9
Kurting,53
Kurunjang,10071
Kyabram,7332
Kyabram South,76
Kyneton,6948
Kyneton South,123
Kyvalley,328
Laanecoorie,179
Laang,101
Labertouche,354
Laceby,251
Ladys Pass,106
Laen East,7
Laen North,11
Lah,50
Laharum,192
Lake Boga,987
Lake Bolac,330
Lake Bunga,329
Lake Charm,163
Lake Condah,9
Lake Eildon,7
Lake Eppalock,0
Lake Fyans,29
Lake Gardens,1699
Lake Goldsmith,34
Lake Lonsdale,37
Lake Marmal,21
Lake Meran,24
Lake Mundi,31
Lake Powell,22
Lake Rowan,72
Lake Tyers,69
Lake Tyers Beach,728
Lake Tyrrell,0
Lake Wellington,0
Lake Wendouree,2884
Lake Wongan,7
Lakes Entrance,4808
Lal Lal,473
Lalbert,152
Lalor,22594
Lamplough,62
Lancaster,394
Lance Creek,134
Lancefield,2451
Landsborough (Vic.),175
Landsborough West,42
Lang Lang,1591
Lang Lang East,75
Langdons Hill,18
Langi Kal Kal,406
Langi Logan,23
Langkoop,116
Langley,40
Langsborough,117
